strain	description	source	location	cluster	adk	ccpA	glpF	glpT	panC	pta	pycA	ST
Ames	B.anthracis Ames Porton	[pXO1-/pXO2-; Ames strain cured of the pXO1 and pXO2 plasmids at UK Defence Science and Technology Laboratory]	UK, England, Porton Down	clusterIII	24	36	35	18	32	32	33	1
EPI674	B.anthracis EPI674	Human, Heroin abuser, muscle	Norway	clusterIII	24	36	35	18	32	32	33	1
NVH87	B.anthracis NVH87	Animal, cattle (Bovine) (1987)	Norway	clusterIII	24	36	35	18	32	32	33	1
NVH93	B.anthracis NVH93	Animal, cattle (Bovine) (1993)	Norway	clusterIII	24	36	35	18	32	32	33	1
ATCC10987	B.cereus ATCC10987 (AH75)	Dairy products, Cheese (1930)	Canada	clusterIII	12	16	15	36	14	15	15	2
F4810/72	B.cereus F4810/72 (AH187, KBBI2, FHL4810, NCTC11143, DSM4312, SMR178)	Human, vomit (1972) [emetic food poisoning outbreak; human vomiting; reference emetic toxin/cereulide producer]	UK	clusterIII	10	14	13	14	12	13	13	3
AH230	B.thuringiensis ATCC21282 (AH230)			clusterIII	12	16	15	16	14	15	15	5
AH251	B.thuringiensis kenyae BGSC4F3 (AH251, AH1302, HD293)	Animal, Insect, Almond moth (Ephestia cautella/Cadra cautella)	USA	clusterIV	13	17	16	17	15	16	16	6
AH267	B.c_group AH267	Human	Norway	clusterIII	14	18	17	18	16	17	17	7
AH403	B.c_group AH403	Dairy	Norway	clusterVI	15	19	18	19	17	18	18	8
AH407	B.c_group AH407	Dairy	Finland, Valio	clusterVI	5	20	19	20	18	18	19	9
AH408	B.c_group AH408	Dairy	Finland, Valio	clusterVI	16	21	20	21	19	19	20	10
AH519	B.c_group AH519	Soil, strawberry field (1993)	Norway, Moss	clusterII	7	22	21	22	20	20	21	11
AH536	B.c_group AH536	Soil, strawberry field (1993)	Norway, Moss	clusterII	7	22	21	22	21	20	21	12
AH542	B.c_group AH542	Soil, strawberry field (1993)	Norway, Moss	clusterII	7	22	22	22	22	20	22	13
AH546	B.c_group AH546	Soil, cabbage field (1993)	Norway, Moss	clusterIV	17	23	1	23	23	21	23	14
AH547	B.c_group AH547	Soil, cabbage field (1993)	Norway, Moss	clusterVI	5	20	23	24	23	18	24	15
AH553	B.c_group AH553	Soil, cabbage field (1993)	Norway, Moss	clusterII	7	24	10	25	24	22	21	16
AH572	B.c_group AH572	Soil, beech grove (1993)	Norway, Moss	clusterII	7	22	21	22	20	20	21	11
AH607	B.c_group AH607	Dairy	Norway, Tynset	clusterII	18	25	24	26	25	23	25	17
AH614	B.c_group AH614	Dairy	Norway, Porsgrunn	clusterVI	16	26	25	27	26	24	20	18
AH627	B.c_group AH627	Soil, heather soil (1994)	Norway, Singsas/Saetereng	clusterVI	16	21	19	28	19	19	20	19
AH632	B.c_group AH632	Soil, heather soil (1994)	Norway, Singsas/Saetereng	clusterVI	5	20	19	29	18	18	26	20
AH641	B.c_group AH641	Soil, heather soil (1994)	Norway, Singsas/Saetereng	clusterVI	19	20	26	19	23	25	27	21
AH645	B.c_group AH645	Soil, heather soil (1994)	Norway, Steigen	clusterVI	20	27	27	30	23	26	27	22
AH650	B.c_group AH650	Soil, heather soil (1994)	Norway, Steigen	clusterVI	21	28	28	31	27	6	28	23
AH663	B.c_group AH663	Soil, woodland soil (1994)	Norway, Brekkvasselv	clusterVI	5	20	19	29	18	18	19	24
AH664	B.c_group AH664	Soil, woodland soil (1994)	Norway, Brekkvasselv	clusterVI	22	29	29	19	28	27	29	25
AH675	B.c_group AH675	Soil, heather soil (1994)	Norway, Tromso	clusterVI	23	20	30	29	18	18	30	26
AH678	B.c_group AH678	Soil, heather soil (1994)	Norway, Tromso	clusterVI	22	30	31	32	23	28	29	27
AH681	B.c_group AH681	Soil, heather soil (1994)	Norway, Tromso	clusterVI	21	31	26	8	23	29	7	28
AH685	B.c_group AH685	Soil, heather soil (1994)	Norway, Tromso	clusterVI	22	20	32	8	29	6	31	29
AH716	B.c_group AH716	Human, pus	Norway, Skien	clusterIV	3	13	12	13	11	30	12	30
AH718	B.c_group AH718	Human, nose	Norway, Skien	clusterIV	3	32	12	13	11	30	12	31
AH726	B.c_group AH726	Human, urine	Norway, Skien	clusterIV	3	13	12	13	11	12	12	33
AH727	B.c_group AH727	Human, pus	Norway, Skien	clusterII	7	34	10	34	30	20	32	34
AH728	B.c_group AH728	Human, urine	Norway, Skien	clusterIII	10	35	34	35	31	13	13	35
AH810	B.c_group AH810	Human, periodontitis (1994)	Norway, Telemark	clusterIII	25	37	36	37	33	33	34	36
AH811	B.c_group AH811	Human, periodontitis (1995)	Brazil, Sao Jose dos Pinhais	clusterIV	3	38	6	38	5	5	35	37
AH812	B.c_group AH812	Human, periodontitis (1995)	Norway, Oslo	clusterIII	10	35	13	14	12	34	36	38
AH813	B.c_group AH813	Human, periodontitis (1995)	Brazil, Curitiba	clusterIII	2	35	37	39	34	32	37	39
