cgST	repA	parA	parB	A053	A002	A004	A005	A007	A008	A009	A010	A011	A015	A017	A050	A054	A055	A056	A058	A059	A157	A160	A165	A167	A169	A172	A173	A175
10.1	4	5	6	2	1	1	1	1	1	2	1	3	3	3	3	2	1	3	3	3	3	3	2	2	2	2	2	2	
1.1	1	1	1	1	2	2	2	2	2	3	2	2	2	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	
11.1	5	6	7	3	4	5	5	4	4	5	4	6	6	6	4	6	2	5	4	4	4	6	3	3	3	3	3	3	
1.2	1	1	1	1	2	2	2	2	2	3	2	5	2	2	2	3	1	2	2	2	1	5	1	1	1	1	1	1	
12.1	6	7	8	3	9	6	7	5	5	10	6	9	7	8	5	9	2	7	7	7	5	7	5	6	7	4	5	4	
1.3	1	1	1	1	2	2	2	2	2	3	5	2	2	2	2	3	1	2	2	2	1	5	1	1	1	1	1	1	
1.4	1	1	1	1	8	2	2	2	2	9	2	5	2	2	2	3	1	2	2	2	1	5	1	1	1	1	1	1	
1.5	1	1	1	1	2	2	2	2	2	3	2	2	2	2	2	3	1	2	2	2	1	5	1	1	1	1	1	1	
2.1	2	1	1	1	3	3	3	3	3	4	3	4	4	4	2	1	1	4	2	2	1	1	1	1	1	1	1	1	
3.1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
3.10	2	2	2	1	1	4	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	
3.11	2	2	2	1	1	1	6	1	1	2	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
3.12	2	2	2	1	1	1	1	1	1	2	1	1	1	7	1	1	1	2	2	2	1	1	1	1	1	1	1	1	
3.13	2	2	2	1	5	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	
3.14	2	2	2	1	6	1	6	1	1	2	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
3.15	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	
3.16	2	2	2	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	
3.17	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	8	1	3	5	5	1	1	4	1	1	1	1	1	
3.18	2	2	2	1	7	1	1	1	1	2	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
3.19	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	6	1	1	1	
3.2	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	
3.20	2	2	2	1	1	1	6	1	1	2	1	8	5	1	1	1	1	1	1	1	4	6	1	1	1	1	4	1	
3.21	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	1	5	1	1	1	1	
3.22	2	2	2	1	7	1	1	1	1	7	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
3.3	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
3.4	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	
3.5	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	
3.6	2	2	2	1	1	1	1	1	1	2	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
3.7	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	4	1	2	2	2	1	1	1	1	1	1	1	1	
3.8	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	
3.9	2	2	2	1	1	1	4	1	1	2	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
4.1	2	2	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	
5.1	2	2	4	1	1	1	1	1	1	8	1	1	1	1	1	1	1	6	6	6	1	1	1	1	1	1	1	1	
6.1	2	2	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	1	4	1	1	1	1	
7.1	2	3	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
8.1	2	4	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	
9.1	3	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	

